state,state_abbrev,bill_number,title,legiscan_bill_url,legiscan_text_url,year,status,collection_method
Colorado,CO,HB1336,CDPS Expenditures School Safety,https://legiscan.com/CO/bill/HB1336/2010,https://legiscan.com/CO/text/HB1336/id/383705,2010.0,Passed,API_Pipeline_Mar2026
Georgia,GA,SB299,Juvenile Proceedings; zero tolerance policy on weapons in schools; change provisions,https://legiscan.com/GA/bill/SB299/2009,https://legiscan.com/GA/text/SB299/id/432662,2010.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,HB0156,VEH CD-SCHOOL SAFETY PURPOSES,https://legiscan.com/IL/bill/HB0156/2009,https://legiscan.com/IL/text/HB0156/id/74167,2010.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,SB2647,SCH CONSTRUCT-BUILDING COMM,https://legiscan.com/IL/bill/SB2647/2009,https://legiscan.com/IL/text/SB2647/id/18249,2010.0,Enacted,API_Pipeline_Mar2026
Maryland,MD,HB1160,Safe Schools Act of 2010,https://legiscan.com/MD/bill/HB1160/2010,https://legiscan.com/MD/text/HB1160/id/497639,2010.0,Passed,API_Pipeline_Mar2026
North Carolina,NC,H1377,Safe Schools Act,https://legiscan.com/NC/bill/H1377/2010,https://legiscan.com/NC/text/H1377/id/368727,2010.0,Enacted,API_Pipeline_Mar2026
Pennsylvania,PA,HB101,"In school districts, further providing for reports to Department of Education and providing for value-added assessment system and for drop-out data collection; in intermediate units, further providing for financial reports; providing for payment of fees associated with certification by the National Board for Professional Teaching Standards; in certification of teachers, further providing for disqualifications relating to teacher's certificate; in pupils and attendance, further providing for residence and right to free school privileges and providing for emergency permits at approved private schools and chartered schools for the deaf and blind; in provisions relating to safe schools, further providing for definitions and for the Office for Safe Schools; providing for regulations; and further providing for reporting by school entities; in school health services, further providing for possession and use of asthma inhalers and epinephrine auto-injectors, for medical examinations of teachers and other persons and for duties of Department of Education; in terms and courses of study, providing for economic education and personal financial literacy programs, for State standards for business, computer and information technology courses and for dating violence education; establishing the Science Technology Partnership Program; in high schools, further providing for academic degrees; in charter schools, further providing for facilities; providing for the Older Pennsylvanian Higher Education Program, for course materials at institutions of higher education and for sexual violence education at institutions of higher education; in reimbursements by Commonwealth and between school districts, further providing for effect of failure to file reports; and making editorial changes and related repeals.",https://legiscan.com/PA/bill/HB101/2009,https://legiscan.com/PA/text/HB101/id/32858,2010.0,Enacted,API_Pipeline_Mar2026
Tennessee,TN,HB3161,"As enacted, allows any school resource officer who witnesses an offense by a student receiving special education to take the student into custody. - Amends TCA Title 49, Chapter 10, Part 13.",https://legiscan.com/TN/bill/HB3161/2009,https://legiscan.com/TN/text/HB3161/id/435948,2010.0,Enacted,API_Pipeline_Mar2026
Tennessee,TN,HB3794,"As enacted, requires commissioner of education, in collaboration with the state-level school safety team, to develop guidelines and training for all public school administrators and human resource personnel regarding the prevention of workplace violence; authorizes the commissioner to direct up to 5 percent of the funds appropriated to the Tennessee school safety center for the development and delivery of training materials and guidelines on school safety issues.",https://legiscan.com/TN/bill/HB3794/2009,https://legiscan.com/TN/text/HB3794/id/451743,2010.0,Enacted,API_Pipeline_Mar2026
Tennessee,TN,SB3583,"As enacted, allows any school resource officer who witnesses an offense by a student receiving special education to take the student into custody. - Amends TCA Title 49, Chapter 10, Part 13.",https://legiscan.com/TN/bill/SB3583/2009,https://legiscan.com/TN/text/SB3583/id/409991,2010.0,Enacted,API_Pipeline_Mar2026
Tennessee,TN,SB3875,"As enacted, requires commissioner of education, in collaboration with the state-level school safety team, to develop guidelines and training for all public school administrators and human resource personnel regarding the prevention of workplace violence; authorizes the commissioner to direct up to 5 percent of the funds appropriated to the Tennessee school safety center for the development and delivery of training materials and guidelines on school safety issues.",https://legiscan.com/TN/bill/SB3875/2009,https://legiscan.com/TN/text/SB3875/id/416452,2010.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,HB903,Threat assessment teams; exempts certain records established at higher educational institutions.,https://legiscan.com/VA/bill/HB903/2010,https://legiscan.com/VA/text/HB903/id/368873,2010.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,SB207,Threat assessment teams; exempts certain records established at higher educational institutions.,https://legiscan.com/VA/bill/SB207/2010,https://legiscan.com/VA/text/SB207/id/395552,2010.0,Enacted,API_Pipeline_Mar2026
Wisconsin,WI,SB154,"School safety plans, pupil records, and school bullying.",https://legiscan.com/WI/bill/SB154/2009,https://legiscan.com/WI/text/SB154/id/408778,2010.0,Enacted,API_Pipeline_Mar2026
Arkansas,AR,SB315,"An Act To Amend Act 1366 Of 2003, Concerning Homeland Security And Threat Assessment Plans And To Declare An Emergency.",https://legiscan.com/AR/bill/SB315/2011,https://legiscan.com/AR/text/SB315/id/170586,2011.0,Enacted,API_Pipeline_Mar2026
California,CA,AB123,School safety: disruption threatening pupil's immediate,https://legiscan.com/CA/bill/AB123/2011,https://legiscan.com/CA/text/AB123/id/76767,2011.0,Enacted,API_Pipeline_Mar2026
California,CA,AB401,School safety: Carl Washington School Safety and,https://legiscan.com/CA/bill/AB401/2011,https://legiscan.com/CA/text/AB401/id/168182,2012.0,Enacted,API_Pipeline_Mar2026
California,CA,AB680,Pupil safety: comprehensive school safety plans.,https://legiscan.com/CA/bill/AB680/2011,https://legiscan.com/CA/text/AB680/id/179989,2011.0,Enacted,API_Pipeline_Mar2026
California,CA,AB2368,School security: security departments: school police,https://legiscan.com/CA/bill/AB2368/2011,https://legiscan.com/CA/text/AB2368/id/589326,2012.0,Enacted,API_Pipeline_Mar2026
Delaware,DE,SB233,An Act To Amend Titles 11 And 29 Of The Delaware Code Relating To Comprehensive School Safety Plans,https://legiscan.com/DE/bill/SB233/2011,https://legiscan.com/DE/text/SB233/id/652206,2012.0,Passed,API_Pipeline_Mar2026
Georgia,GA,HR1597,"Hope, Shane; commend",https://legiscan.com/GA/bill/HR1597/2011,https://legiscan.com/GA/text/HR1597/id/590070,2012.0,Passed,API_Pipeline_Mar2026
Georgia,GA,HR1713,Veterans Remembered Flag; recognize,https://legiscan.com/GA/bill/HR1713/2011,https://legiscan.com/GA/text/HR1713/id/599420,2012.0,Passed,API_Pipeline_Mar2026
Georgia,GA,SR957,"Hope, Shane; recognize",https://legiscan.com/GA/bill/SR957/2011,https://legiscan.com/GA/text/SR957/id/581688,2012.0,Passed,API_Pipeline_Mar2026
Maryland,MD,HB79,Task Force to Study the Creation of a Maryland Center for School Safety,https://legiscan.com/MD/bill/HB79/2011,https://legiscan.com/MD/text/HB79/id/147941,2011.0,Passed,API_Pipeline_Mar2026
Maryland,MD,SB772,Task Force to Study the Creation of a Maryland Center for School Safety,https://legiscan.com/MD/bill/SB772/2011,https://legiscan.com/MD/text/SB772/id/153704,2011.0,Passed,API_Pipeline_Mar2026
North Carolina,NC,S707,School Violence Prevention Act,https://legiscan.com/NC/bill/S707/2011,https://legiscan.com/NC/text/S707/id/259268,2012.0,Enacted,API_Pipeline_Mar2026
North Dakota,ND,1215,A requirement for lockdown drills at schools.,https://legiscan.com/ND/bill/1215/2011,https://legiscan.com/ND/text/1215/id/135348,2011.0,Passed,API_Pipeline_Mar2026
Oregon,OR,SJM12,Urging Congress to adopt Veterans Remembered Flag.,https://legiscan.com/OR/bill/SJM12/2011,https://legiscan.com/OR/text/SJM12/id/113798,2011.0,Passed,API_Pipeline_Mar2026
Pennsylvania,PA,HB1352,"In preliminary provisions, further providing for background checks of prospective employees and conviction of employees of certain offenses; providing for collection of identifying information of students attending institutions of higher education, for moratorium on certain data collection systems and data sets and for certified safety committees; in school finances, providing for reopening of 2011-2012 budget; in grounds and buildings, providing for acquisition of buildings, sites for school buildings and playgrounds and disposing thereof; further providing for approval by department of plans of buildings and exceptions and for approval of lease agreements; in intermediate units, further providing for subsidies for services and for financial reports; in district and assistant superintendents, further providing for purpose and for eligibility; in professional employees, providing for professional and temporary professional employees of schools formerly operated by the Commonwealth; in certification of teachers, further providing for certificates qualifying persons to teach, for kinds of State certificates, for continuing professional development, for program of continuing professional education, for continuing professional education for school or system leaders and for certificates issued by other states; providing for postbaccalaureate certification; in pupils and attendance, further providing for admission of beginners, for cost of tuition and maintenance of certain exceptional children in approved institutions; in safe schools, further providing for reporting, for safe schools advocate in school districts of the first class, for standing and for enforcement; in interscholastic athletics accountability, further providing for council recommendations and standards; in opportunities for educational excellence, further providing for definitions, for responsibilities of school entities, for concurrent enrollment committees, for concurrent enrollment agreements and for enrollment in concurrent courses; in charter schools, further providing for school staff; in community colleges, further providing for financial program and reimbursement of payments; in transfers of credits between institutions of higher education, further providing for duties of public institutions of higher education; providing for participation by State-related institutions; in funding for public libraries, providing for State aid for 2011-2012; in reimbursements by Commonwealth and between school districts, further providing for definitions, for basic education funding for student achievement and for accountability to Commonwealth taxpayers; providing for basic education funding for 2010-2011 school year; and further providing for payments to intermediate units, for special education payments to school districts, for payments on account of homebound children, for payments on account of pupil transportation and for Pennsylvania Accountability Grants.",https://legiscan.com/PA/bill/HB1352/2011,https://legiscan.com/PA/text/HB1352/id/269087,2011.0,Enacted,API_Pipeline_Mar2026
Pennsylvania,PA,HB1901,"In preliminary provisions, further providing for definitions, for background checks of prospective employees and conviction of employees of certain offenses and for collection of identifying information of students attending institutions of higher education; providing for adjustments based on Consumer Price Index and for Keystone Exams; in school districts, further providing for moratorium on certain data collection systems and data sets; in school finances, providing for reopening of 2012-2013 budget and for intergovernmental agreements for school security and safety; in grounds and buildings, providing for limitation on new applications for the Department of Education's approval of public school building projects and further providing for work to be done under contract let on bids and exception; in books, furniture and supplies, further providing for purchase of supplies; in district superintendents and assistant district superintendents, further providing for eligibility and for manner of election or approval, providing for performance review and further providing for election of assistant district superintendents, for term and salary of assistants, for commissions and for removal; in professional employees, further providing for rating system and for causes for suspension; in pupils and attendance, further providing for liability for tuition and enforcement of payment and for school lunch and breakfast reimbursement; in safe schools, further providing for regulations; adding a requirement relating to cardiopulminary resuscitation; providing for open campus initiatives; in high schools; further providing for attendance in other districts; reenacting and amending provisions relating to school boards and educational empowerment; in community colleges, further providing for financial program, reimbursement of payments; in Thaddeus Stevens College of Technology, further providing for contracts for construction, repair, renovation or maintenance; in State System of Higher Education, further providing for project contracts and for powers and duties of institution presidents; in school districts of the first class, further providing for superintendents of schools or buildings and of supplies; in funding for public libraries, providing for State and for fiscal year 2012-2013; in reimbursements by Commonwealth and between school districts, providing for basic education funding for 2011-2012 school year, further providing for payments to intermediate units and for special education payments to school districts, providing for assistance to school districts certified as education empowerment districts, further providing for Pennsylvania accountability grants and providing for targeted industry cluster certificate scholarship program; and making editorial changes.",https://legiscan.com/PA/bill/HB1901/2011,https://legiscan.com/PA/text/HB1901/id/354866,2012.0,Enacted,API_Pipeline_Mar2026
Pennsylvania,PA,HR896,Recognizing the Veterans Remembered Flag.,https://legiscan.com/PA/bill/HR896/2011,https://legiscan.com/PA/text/HR896/id/665455,2012.0,Passed,API_Pipeline_Mar2026
Rhode Island,RI,H5941,An Act Relating To Education -- Safe Schools,https://legiscan.com/RI/bill/H5941/2011,https://legiscan.com/RI/text/H5941/id/248049,2011.0,Passed,API_Pipeline_Mar2026
Rhode Island,RI,S0732,An Act Relating To Education -- Safe Schools,https://legiscan.com/RI/bill/S0732/2011,https://legiscan.com/RI/text/S0732/id/259256,2011.0,Passed,API_Pipeline_Mar2026
South Carolina,SC,H3628,North Central High School Shooting Team,https://legiscan.com/SC/bill/H3628/2011,https://legiscan.com/SC/text/H3628/id/144470,2011.0,Passed,API_Pipeline_Mar2026
Vermont,VT,S0181,An Act Relating To School Resource Officers,https://legiscan.com/VT/bill/S0181/2011,https://legiscan.com/VT/text/S0181/id/576175,2012.0,Passed,API_Pipeline_Mar2026
Arizona,AZ,SB1185,School resource officer; duty; obstruction,https://legiscan.com/AZ/bill/SB1185/2012,https://legiscan.com/AZ/text/SB1185/id/540390,2012.0,Passed,API_Pipeline_Mar2026
Arizona,AZ,SCM1007,Urging adoption; veterans remembered flag,https://legiscan.com/AZ/bill/SCM1007/2012,https://legiscan.com/AZ/text/SCM1007/id/554771,2012.0,Passed,API_Pipeline_Mar2026
Colorado,CO,SB079,Safe2tell Program Revisions School Safety,https://legiscan.com/CO/bill/SB079/2012,https://legiscan.com/CO/text/SB079/id/541563,2012.0,Passed,API_Pipeline_Mar2026
Hawaii,HI,HR64,Veterans; Flag,https://legiscan.com/HI/bill/HR64/2012,https://legiscan.com/HI/text/HR64/id/602354,2012.0,Passed,API_Pipeline_Mar2026
Indiana,IN,HCR0003,Urging Congress to adopt the Veterans Remembered Flag.,https://legiscan.com/IN/bill/HCR0003/2012,https://legiscan.com/IN/text/HCR0003/id/508546,2012.0,Passed,API_Pipeline_Mar2026
New Jersey,NJ,A3583,Establishes School Security Task Force.*,https://legiscan.com/NJ/bill/A3583/2012,https://legiscan.com/NJ/text/A3583/id/733750,2013.0,Enacted,API_Pipeline_Mar2026
New Jersey,NJ,A4072,"Establishes pilot program in DOE to recruit, select, and train veterans for school security positions in school districts.",https://legiscan.com/NJ/bill/A4072/2012,https://legiscan.com/NJ/text/A4072/id/839164,2014.0,Enacted,API_Pipeline_Mar2026
New Mexico,NM,SM38,Veterans remembered flag in cemeteries,https://legiscan.com/NM/bill/SM38/2012,https://legiscan.com/NM/text/SM38/id/555410,2012.0,Passed,API_Pipeline_Mar2026
Oklahoma,OK,HR1042,Veterans; encouraging the display of Veterans Remembered flag.,https://legiscan.com/OK/bill/HR1042/2012,https://legiscan.com/OK/text/HR1042/id/579957,2012.0,Passed,API_Pipeline_Mar2026
Virginia,VA,HB504,Virginia Center for School Safety; provide training to public school personnel on antibullying.,https://legiscan.com/VA/bill/HB504/2012,https://legiscan.com/VA/text/HB504/id/527082,2012.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,HB1152,Threat assessment teams; authorized to receive health and criminal history records of students.,https://legiscan.com/VA/bill/HB1152/2012,https://legiscan.com/VA/text/HB1152/id/540213,2012.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,SB271,Virginia Center for School Safety; provide training to public school personnel on antibullying.,https://legiscan.com/VA/bill/SB271/2012,https://legiscan.com/VA/text/SB271/id/532137,2012.0,Enacted,API_Pipeline_Mar2026
Alabama,AL,HB600,"Etowah Co., school resource officers, retired law enforcement officers allowed to serve on part-time basis, certification as peace officer required",https://legiscan.com/AL/bill/HB600/2013,https://legiscan.com/AL/text/HB600/id/816457,2013.0,Enacted,API_Pipeline_Mar2026
Alabama,AL,HJR205,"Homeland Security Director, school safety stakeholder group, encouraged to continue meetings",https://legiscan.com/AL/bill/HJR205/2013,https://legiscan.com/AL/text/HJR205/id/808916,2013.0,Enacted,API_Pipeline_Mar2026
Arkansas,AR,SB146,Concerning The Participation Of School Resource Officers Indirectly Paid By A System Employer In The Arkansas Teacher Retirement System.,https://legiscan.com/AR/bill/SB146/2013,https://legiscan.com/AR/text/SB146/id/709760,2013.0,Enacted,API_Pipeline_Mar2026
Arkansas,AR,SB642,An Act For The Department Of Information Systems - Active Shooter/safe Schools Initiative Communications Equipment Installation & Operation General Improvement Appropriation For The 2013-2014 Fiscal Year.,https://legiscan.com/AR/bill/SB642/2013,https://legiscan.com/AR/text/SB642/id/766796,2013.0,Enacted,API_Pipeline_Mar2026
Arkansas,AR,SB703,An Act For The Department Of Information Systems - Active Shooter/safe Schools Initiative Communications Equipment General Improvement Appropriation.,https://legiscan.com/AR/bill/SB703/2013,https://legiscan.com/AR/text/SB703/id/771074,2013.0,Enacted,API_Pipeline_Mar2026
Arkansas,AR,SB704,"An Act For The University Of Arkansas - Criminal Justice Institute - School, Campus And Child Safety Initiative And Active Shooter/safe Schools Initiative General Improvement Appropriation.",https://legiscan.com/AR/bill/SB704/2013,https://legiscan.com/AR/text/SB704/id/771069,2013.0,Enacted,API_Pipeline_Mar2026
California,CA,AB514,The Safe Schools for Safe Learning Act of 2013.,https://legiscan.com/CA/bill/AB514/2013,https://legiscan.com/CA/text/AB514/id/753505,2013.0,Enacted,API_Pipeline_Mar2026
California,CA,AB547,21st Century High School After School Safety and,https://legiscan.com/CA/bill/AB547/2013,https://legiscan.com/CA/text/AB547/id/753456,2013.0,Enacted,API_Pipeline_Mar2026
California,CA,AB549,Comprehensive school safety plans: mental health professionals and police role on campus guidelines.,https://legiscan.com/CA/bill/AB549/2013,https://legiscan.com/CA/text/AB549/id/753453,2013.0,Enacted,API_Pipeline_Mar2026
California,CA,AB1271,School safety plans: pupil mental health care.,https://legiscan.com/CA/bill/AB1271/2013,https://legiscan.com/CA/text/AB1271/id/758220,2014.0,Enacted,API_Pipeline_Mar2026
California,CA,AB1598,Emergency response services: active shooter incidents.,https://legiscan.com/CA/bill/AB1598/2013,https://legiscan.com/CA/text/AB1598/id/948079,2014.0,Enacted,API_Pipeline_Mar2026
California,CA,ACR94,Emergency services: active shooter incidents.,https://legiscan.com/CA/bill/ACR94/2013,https://legiscan.com/CA/text/ACR94/id/956225,2014.0,Enacted,API_Pipeline_Mar2026
Colorado,CO,SB138,School Resource Officer Programs In Public Schools,https://legiscan.com/CO/bill/SB138/2013,https://legiscan.com/CO/text/SB138/id/712084,2013.0,Passed,API_Pipeline_Mar2026
Connecticut,CT,SB01099,An Act Concerning School Safety.,https://legiscan.com/CT/bill/SB01099/2013,https://legiscan.com/CT/text/SB01099/id/777687,2013.0,Enacted,API_Pipeline_Mar2026
Delaware,DE,HB340,An Act To Amend Title 29 Of The Delaware Code Relating To The Omnibus School Safety Act.,https://legiscan.com/DE/bill/HB340/2013,https://legiscan.com/DE/text/HB340/id/1022690,2014.0,Passed,API_Pipeline_Mar2026
Florida,FL,H0407,Criminal Gang Prevention,https://legiscan.com/FL/bill/H0407/2013,https://legiscan.com/FL/text/H0407/id/697789,2013.0,Enacted,API_Pipeline_Mar2026
Florida,FL,S0052,Use of Wireless Communications Devices While Driving,https://legiscan.com/FL/bill/S0052/2013,https://legiscan.com/FL/text/S0052/id/669442,2013.0,Enacted,API_Pipeline_Mar2026
Georgia,GA,HB826,Crimes and offenses; carrying weapons within certain school safety zones and at school functions; change provisions,https://legiscan.com/GA/bill/HB826/2013,https://legiscan.com/GA/text/HB826/id/935749,2014.0,Enacted,API_Pipeline_Mar2026
Georgia,GA,HR502,Joint Study Committee on Mental Health and School Violence; create,https://legiscan.com/GA/bill/HR502/2013,https://legiscan.com/GA/text/HR502/id/760034,2013.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,HB5716,SCH EMERGENCY PLAN-ELECTRONIC,https://legiscan.com/IL/bill/HB5716/2013,https://legiscan.com/IL/text/HB5716/id/959124,2014.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,SB1625,SCHOOL SAFETY DRILL-INCIDENTS,https://legiscan.com/IL/bill/SB1625/2013,https://legiscan.com/IL/text/SB1625/id/735507,2013.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,SB1931,SCH CD-SCH SECURITY TASK FORCE,https://legiscan.com/IL/bill/SB1931/2013,https://legiscan.com/IL/text/SB1931/id/741406,2013.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,SB2710,SCH SAF DRILL-REVIEW-PRIV SCH,https://legiscan.com/IL/bill/SB2710/2013,https://legiscan.com/IL/text/SB2710/id/939155,2014.0,Enacted,API_Pipeline_Mar2026
Illinois,IL,SB2747,SCHOOL SECURITY TASK FORCE,https://legiscan.com/IL/bill/SB2747/2013,https://legiscan.com/IL/text/SB2747/id/939151,2014.0,Enacted,API_Pipeline_Mar2026
Indiana,IN,HB1015,School safety.,https://legiscan.com/IN/bill/HB1015/2013,https://legiscan.com/IN/text/HB1015/id/673356,2013.0,Enacted,API_Pipeline_Mar2026
Indiana,IN,SB0001,School resource officers and school safety.,https://legiscan.com/IN/bill/SB0001/2013,https://legiscan.com/IN/text/SB0001/id/680070,2013.0,Enacted,API_Pipeline_Mar2026
Kentucky,KY,HB354,AN ACT relating to school safety.,https://legiscan.com/KY/bill/HB354/2013,https://legiscan.com/KY/text/HB354/id/733745,2013.0,Enacted,API_Pipeline_Mar2026
